City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Jiuquan,CN,10/27/2021 2:02,39.7432,98.5174,43.27,55,0,1.74
146,San Luis De La Paz,MX,10/27/2021 1:58,21.3,-100.5167,68.61,57,99,8.95
147,Samarai,PG,10/27/2021 2:02,-10.6167,150.6667,83.3,76,26,11.07
148,San Pedro De Macoris,DO,10/27/2021 2:02,18.4616,-69.2972,75.81,78,7,7.02
149,Kaitangata,NZ,10/27/2021 1:59,-46.2817,169.8464,59.47,72,67,7.29
150,Palmer,US,10/27/2021 2:02,42.1584,-72.3287,54.14,80,90,4
151,Narsaq,GL,10/27/2021 2:00,60.9167,-46.05,35.82,59,88,7.54
152,Kavaratti,IN,10/27/2021 2:02,10.5669,72.642,81.25,78,100,11.83
153,Kurchatov,RU,10/27/2021 2:02,51.6601,35.6521,36.01,64,63,11.21
154,Lompoc,US,10/27/2021 2:02,34.6391,-120.4579,64.78,72,1,11.5
155,Powell River,CA,10/27/2021 2:00,49.8496,-124.5361,53.08,87,90,8.05
156,Florianopolis,BR,10/27/2021 2:02,-27.6146,-48.5012,66.63,92,73,1.99
157,Bambous Virieux,MU,10/27/2021 2:02,-20.3428,57.7575,73.22,65,54,13.24
158,Longyearbyen,SJ,10/27/2021 2:02,78.2186,15.6401,15.64,73,75,6.91
159,Kukuna,SL,10/27/2021 2:02,9.4,-12.6667,74.12,95,100,1.7
160,Dawei,MM,10/27/2021 2:02,14.0833,98.2,82.44,70,87,3.67
161,Saint-Pierre,RE,10/27/2021 2:02,-21.3393,55.4781,71.24,59,0,5.75
162,Pecos,US,10/27/2021 2:02,31.4229,-103.4932,81.05,22,1,21.85
163,Muros,ES,10/27/2021 2:02,42.7762,-9.0603,59.85,96,15,4.52
164,Rio Grande,BR,10/27/2021 2:02,-32.035,-52.0986,62.94,81,0,4.16
165,San Jose,US,10/27/2021 1:58,37.3394,-121.895,64.65,68,90,4
166,Stabat,ID,10/27/2021 2:02,3.761,98.4513,79,89,90,1.68
167,Puerto Ayora,EC,10/27/2021 2:02,-0.7393,-90.3518,68.56,93,95,1.99
168,Gravdal,NO,10/27/2021 1:59,68.1214,13.5031,42.87,90,97,3.94
169,Aykhal,RU,10/27/2021 2:02,66,111.5,6.28,97,99,5.66
170,Yerbogachen,RU,10/27/2021 1:59,61.2767,108.0108,27.84,80,100,13.18
