City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
148,Ilhabela,BR,69.53,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
149,Prainha,BR,76.93,scattered clouds,-1.8,-53.48,Casa Rocha
154,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
158,Ewa Beach,US,83.57,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
160,Surt,LY,71.64,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
164,Rantepao,ID,79.36,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
167,Djambala,CG,67.59,light rain,-2.5447,14.7533,Hotel Ravin D'or
168,Kochi,IN,76.98,broken clouds,9.9399,76.2602,Hotel Abad
174,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
176,Altamira,BR,75.49,few clouds,-3.2033,-52.2064,Requinte Hotel
181,Odweyne,SO,69.21,clear sky,9.4092,45.064,Eng Hiirey House
183,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
185,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
186,Port-Gentil,GA,76.06,light rain,-0.7193,8.7815,Fengshui Residence
187,Ketou,BJ,74.93,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
188,Batemans Bay,AU,70.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
194,Corsicana,US,67.77,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
196,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
201,Jambi,ID,79.2,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
203,Esperance,AU,70.11,clear sky,-33.8667,121.9,Hospitality Esperance
204,Lhokseumawe,ID,77.94,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
205,Trairi,BR,79.48,broken clouds,-3.2778,-39.2689,janelas do mar
207,Prieska,ZA,67.37,clear sky,-29.6641,22.7474,Avenue GuestHouse
208,Karratha,AU,78.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
211,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
212,Tshikapa,CD,69.66,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
218,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
222,Atambua,ID,85.05,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
